{ Configuration Parameters }										
Frame Rate	30	 1/second								
Sim Duration Const	1	 ---								
Max Deviation Const	35	 ---								
Stdev Const	35	 ---								
Learning Rate	0.25	 ---								
Learning Rate Decay	0.99	 ---								
Momentum Constant	0.1	 ---								
Number of Updates	200	 ---								
										
{ Tunable Parameter Ranges }										
X Length Range	0.003	0.007	 meters							
X Multiplier Range	2	10	 ---							
Time Step Range	0.005	0.015	 seconds							
Time Multipler Range	5	12	 ---							
Transitional Cure Rate Range	1.5	2	 1/second							
										
{ Training Set }										
Monomer	 Initial Cure	 Initial Temperature	 Target Front Speed							
dcpd_gc2	0.07	296.15	0.00107844							
dcpd_gc2	0.07	303.15	0.0013592							
dcpd_gc2	0.07	309.15	0.00166318							
										
{ Training Results }										
Update Number	 Fine X length	 X Step Multiplier	 Time Step	 Time Step Multiplier	 Transitional Cure Rate	 Learning Rate	 Normalized Sim Duration	 Normalized Max Deviation	 Normalized Stdev	 Loss
---	 Meters	 ---	 Seconds	 ---	 1/Second	 ---	 ---	 ---	 ---	 ---
1	0.00690777	8	0.013477	6	1.99713	0.25	0.171967	1	1	70.172
2	0.00689417	7	0.0135722	7	1.99699	0.2475	0.212681	0.0346998	0.0313014	2.52272
3	0.007	6	0.0125722	8	2	0.245025	0.224853	0.0146671	0.0123244	1.16956
4	0.00682467	5	0.0115722	9	2	0.242575	0.224929	0.009887	0.00587261	0.776515
5	0.00677369	5	0.0107481	9	2	0.240149	0.241847	0.00887186	0.0049746	0.726473
6	0.00664616	5	0.0112856	9	1.98761	0.237748	0.23047	0.00776115	0.00479927	0.670085
7	0.00659848	6	0.0108063	8	1.97281	0.23537	0.250965	0.0111215	0.00891311	0.952177
8	0.00699848	6	0.00980628	7	1.97638	0.233016	0.255914	0.00750675	0.00556382	0.713384
9	0.00698339	6	0.00933658	7	1.97528	0.230686	0.269051	0.00586921	0.00452937	0.633001
10	0.007	6	0.00938989	7	1.97155	0.228379	0.267003	0.00556353	0.0045133	0.619692
11	0.007	6	0.00947947	7	1.9694	0.226096	0.264703	0.00678115	0.00484815	0.671728
12	0.00660859	6	0.0093823	8	1.96671	0.223835	0.289016	0.00774313	0.00534956	0.74726
13	0.00646874	6	0.00966783	8	1.96262	0.221596	0.280504	0.00730684	0.00529785	0.721668
14	0.00672485	5	0.00967641	7	1.95797	0.21938	0.215143	0.0124684	0.00847491	0.94816
15	0.00668981	5	0.00894336	7	1.96088	0.217186	0.232568	0.00975652	0.00645386	0.799932
